reg;acte;nb_sejsea;nb_actes;dms_globale;nb_sej_0_nuit;nb_acte_ambu
1;BZQX0040;12;12;0,33;.;.
1;CAFA0020;25;26;0,20;22;23
1;CAFA0050;53;55;0,09;51;53
1;CAFA0090;12;12;2,00;.;.
1;CAGD0010;49;52;7,53;25;25
1;CAJA0020;12;13;4,58;.;.
1;CAJD0010;12;19;9,17;.;.
1;CALD0010;17;19;5,00;.;.
1;CAMA0130;13;13;0,23;.;.
1;CAMA0220;82;99;0,11;77;94
1;CBGD0010;11;12;0,09;.;.
1;CBJD0010;37;40;2,08;28;28
1;CBLD0010;27;27;0,19;25;25
1;CBLD0030;23;23;0,30;18;18
1;CBQE0010;27;27;3,15;11;11
1;CDQP0020;206;208;3,24;34;34
1;CDQP0060;192;197;16,67;.;.
1;CDQP0080;19;19;14,00;.;.
1;CDQP0090;2031;2040;4,90;.;.
1;CDQP0120;15;17;3,53;.;.
1;CDQP0140;14;14;0,21;12;12
1;CDRP0020;576;576;4,59;.;.
1;CERP0020;13;13;4,77;.;.
1;CERP0030;15;17;3,47;.;.
1;DAQL0090;44;45;20,34;.;.
1;DAQL0100;24;24;13,96;.;.
1;DAQL0140;76;77;13,79;.;.
1;DAQM9000;21;27;19,38;.;.
1;DASF0010;14;14;4,64;.;.
1;DASF0050;18;18;5,33;.;.
1;DBKA0060;56;56;20,07;.;.
1;DBKA0100;20;21;30,45;.;.
1;DBMA0030;31;31;24,48;.;.
1;DBMA0080;18;18;29,94;.;.
1;DCJA0010;25;26;24,08;.;.
1;DCJB0010;14;18;12,43;.;.
1;DDAF0010;24;26;8,00;.;.
1;DDAF0040;61;65;7,39;.;.
1;DDAF0060;249;268;4,91;.;.
1;DDAF0070;88;96;5,77;.;.
1;DDAF0080;487;534;5,20;.;.
1;DDAF0090;17;18;7,24;.;.
1;DDAF0100;30;33;6,60;.;.
1;DDFF0010;15;16;5,27;.;.
1;DDMA0110;28;28;25,57;.;.
1;DDMA0180;18;18;16,44;.;.
1;DDPF0020;73;73;11,00;.;.
1;DDQF2020;69;70;4,16;.;.
1;DDQH0090;1972;2071;6,20;107;110
1;DDQH0120;47;49;7,40;.;.
1;DDQH0130;32;33;5,69;.;.
1;DEKA0010;107;114;3,26;.;.
1;DEKA0020;22;23;2,86;.;.
1;DELF0050;208;214;5,45;.;.
1;DELF0070;44;48;6,09;.;.
1;DELF0100;45;54;5,44;.;.
1;DELF0110;20;24;13,65;.;.
1;DELF0130;27;27;10,56;.;.
1;DELF0140;32;32;7,16;.;.
1;DELF0160;26;26;12,31;.;.
1;DEMP0010;71;72;7,83;.;.
1;DEMP0020;241;273;5,22;.;.
1;DEPF0100;20;20;2,20;.;.
1;DEPF0120;80;80;4,23;.;.
1;DEPF0330;16;16;3,06;.;.
1;DEQA0011;37;40;2,46;.;.
1;DEQF0020;86;90;3,98;.;.
1;DEQF0030;19;19;2,16;.;.
1;DEQF0040;45;45;4,16;.;.
1;DEQP0010;70;74;2,69;12;12
1;DEQP0020;15;16;8,67;.;.
1;DEQP0030;30630;38687;5,93;6958;7039
1;DEQP0040;2646;19139;13,83;102;106
1;DEQP0050;1028;2305;13,91;123;123
1;DEQP0070;6947;46053;13,71;384;387
1;DEQP0080;28;28;3,07;.;.
1;DERP0030;129;133;5,39;.;.
1;DERP0040;42;47;11,90;.;.
1;DGQH0010;182;187;2,84;20;20
1;DGQH0060;49;51;5,94;.;.
1;DGQH0070;36;37;2,44;.;.
1;DGQM0010;587;635;10,46;229;245
1;DGQM0020;24;24;13,17;.;.
1;DHLF0010;296;452;47,55;.;.
1;DHQH0030;44;44;0,55;40;40
1;DHQH0070;21;21;0,00;21;21
1;DHSF0010;18;19;16,78;.;.
1;DHSF0020;11;11;6,27;.;.
1;DKMD0010;137;154;18,28;15;15
1;DKMD0020;105;114;19,59;15;15
1;DKRP0040;46;46;9,78;.;.
1;DZQJ0010;138;142;19,51;.;.
1;DZQJ0020;115;117;22,62;.;.
1;DZQJ0060;57;74;33,04;.;.
1;DZQJ0070;113;116;20,14;.;.
1;DZQJ0080;16;18;32,25;.;.
1;DZQJ0090;120;122;13,13;21;21
1;DZQJ0110;16;16;13,50;.;.
1;DZQJ9000;46;50;19,43;.;.
1;DZQM0050;2766;4028;15,87;37;38
1;DZQM0060;8338;9345;9,87;1180;1184
1;DZQN0020;73;73;15,10;.;.
1;EAJF3410;102;105;13,80;.;.
1;EAQH0020;1095;1154;10,97;47;47
1;EAQJ0010;14;14;10,29;.;.
1;EAQM0040;212;450;11,44;52;52
1;EBFA0080;26;26;12,85;.;.
1;EBFA0160;12;12;6,33;.;.
1;EBGA0010;251;254;6,69;167;167
1;EBHA0010;13;13;1,85;11;11
1;EBLA0010;32;32;12,38;12;12
1;EBLA0020;16;16;8,81;.;.
1;EBLA0030;1344;1350;3,93;1048;1050
1;EBQH0020;30;33;13,27;.;.
1;EBQH0040;265;270;12,73;14;14
1;EBQH0060;429;431;10,76;14;14
1;EBQH0100;57;57;2,81;.;.
1;EBQH0110;20;20;15,10;.;.
1;EBQJ0020;23;24;11,00;.;.
1;EBQM0010;655;669;14,84;31;31
1;EBQM0020;3618;3641;3,43;1098;1105
1;EBQM0030;699;707;7,38;165;168
1;EBQM9000;11;11;15,45;.;.
1;ECCA0040;20;20;1,75;.;.
1;ECFA0020;25;25;8,84;.;.
1;ECJF0010;37;38;8,49;.;.
1;ECQH0100;3960;4081;10,17;271;276
1;ECQH0110;375;382;11,37;11;11
1;ECQM0010;70;74;18,63;14;14
1;ECQM0020;335;336;3,04;254;254
1;EDAA0030;30;31;23,57;.;.
1;EDAF0020;18;20;1,89;.;.
1;EDAF0030;24;30;7,46;.;.
1;EDCA0030;14;14;13,57;.;.
1;EDLF0020;22;22;29,41;.;.
1;EDQH0050;16;17;6,69;.;.
1;EDQM0010;388;396;13,40;81;82
1;EDSF0040;20;20;6,05;.;.
1;EDSF0160;109;212;2,06;27;51
1;EEAF0010;123;123;6,99;.;.
1;EEAF0030;113;117;5,77;.;.
1;EEAF0040;73;77;5,42;.;.
1;EEAF0060;114;119;3,96;.;.
1;EECA0010;28;28;20,04;.;.
1;EECA0030;20;20;20,85;.;.
1;EECA0080;11;11;25,91;.;.
1;EEFA0010;32;40;17,50;.;.
1;EEFA0020;15;15;15,60;.;.
1;EEPF0010;18;18;3,33;.;.
1;EEPF0020;15;15;2,40;.;.
1;EEQH0060;190;195;11,83;.;.
1;EFAF0020;370;433;0,02;366;429
1;EFQH0050;130;130;0,14;128;128
1;EFQM0010;921;1032;19,06;106;107
1;EGED0010;64;64;0,86;41;41
1;EGFA0010;39;39;2,62;.;.
1;EGFA0020;70;70;1,29;24;24
1;EGFA0030;92;92;2,37;20;20
1;EGLF0010;506;526;37,65;.;.
1;EGSF0020;16;16;0,00;16;16
1;EHNE0010;68;70;2,44;34;35
1;EHNE0020;32;32;9,69;.;.
1;EJFA0020;17;20;1,18;.;.
1;EJGA0020;92;93;0,97;47;48
1;EJQM0010;67;67;2,79;32;32
1;EJQM0030;748;773;16,17;50;50
1;EJQM0040;1100;1149;13,56;104;104
1;EJSF0080;85;85;0,00;85;85
1;EJSF4660;132;137;0,02;131;136
1;EJSF4750;32;35;0,00;32;35
1;EKQH0010;25;25;16,00;.;.
1;EKQH0020;24;24;4,67;12;12
1;ELQH0020;166;171;15,54;.;.
1;ELQM0010;96;96;0,66;79;79
1;EMQH0010;297;311;21,73;.;.
1;ENFA0060;15;15;26,53;.;.
1;ENLF0010;1191;1676;19,83;15;15
1;ENQX0110;11;11;4,82;.;.
1;EPCA0010;85;85;1,66;11;11
1;EPFA0060;11;11;19,36;.;.
1;EPLA0020;30;32;10,03;17;17
1;EPLF0010;39;152;19,08;.;.
1;EPLF0020;1878;2622;20,01;116;119
1;EPLF0030;24;24;14,08;.;.
1;EPLF0040;268;272;1,95;151;151
1;EPLF0050;973;1068;5,16;780;780
1;EPPF0030;13;13;0,00;13;13
1;EPPP0030;68;68;0,00;68;68
1;EQBP0010;45;84;0,80;42;72
1;EQGA0010;36;37;23,75;.;.
1;EQLA0020;49;51;25,51;.;.
1;EQLF0010;201;528;20,81;.;.
1;EQLF0020;4904;6134;10,20;393;417
1;EQLF0030;1659;6740;19,68;42;45
1;EQLF0050;69;287;41,74;.;.
1;EQMF0030;33;58;4,00;.;.
1;EQQF0010;20;20;8,80;.;.
1;EQQF0060;118;127;9,42;.;.
1;EQQM0010;28;123;25,86;.;.
1;EQQM0030;74;78;11,62;34;37
1;EQQM0060;4349;4383;2,73;1780;1797
1;EQQP0020;109;112;2,30;71;73
1;EQQP0030;591;616;0,30;565;590
1;EQQP0040;52;397;24,31;.;.
1;EQQP0070;381;385;5,22;200;200
1;EQQP0080;283;285;4,30;190;190
1;EQQP0100;11;11;0,00;11;11
1;EQQP0110;1200;9982;19,49;18;18
1;EZAF0010;297;297;0,52;259;259
1;EZAF0020;11;11;0,36;.;.
1;EZCA0030;46;46;3,04;.;.
1;EZCA0040;40;41;5,30;.;.
1;EZFA0020;12;12;6,00;.;.
1;EZFA0030;22;22;1,95;.;.
1;EZKA0010;11;18;31,64;.;.
1;EZMA0010;369;370;2,37;133;133
1;EZMA0030;54;55;3,91;.;.
1;EZMH0010;53;53;2,87;47;47
1;EZPA0010;215;220;2,00;69;69
1;EZPF0040;15;15;1,27;.;.
1;EZQJ9000;12;12;18,33;.;.
1;EZQM0010;1169;1177;1,20;1113;1113
1;EZSA0010;12;12;3,25;.;.
1;EZSA0020;14;14;2,14;.;.
1;EZSA0030;57;59;1,56;15;16
1;EZSA0040;18;18;11,61;.;.
1;FAFA0020;16;16;0,19;14;14
1;FAFA0080;118;118;0,19;102;102
1;FAFA0140;107;112;2,40;.;.
1;FAFA0150;105;105;1,28;23;23
1;FAQX0040;11;12;3,73;.;.
1;FCFA0060;23;24;8,04;.;.
1;FCFA0080;17;17;7,24;.;.
1;FCFA0100;11;11;10,27;.;.
1;FCFA0110;27;27;4,30;11;11
1;FCFA0120;72;72;5,11;30;30
1;FCFA0180;12;12;4,75;.;.
1;FCFA0190;25;25;7,48;.;.
1;FCFA0210;166;167;3,92;78;79
1;FCFA0220;18;18;6,06;.;.
1;FCFA0290;50;50;5,60;.;.
1;FCFC0010;26;26;6,27;.;.
1;FCFC0030;70;72;7,79;.;.
1;FCFC0040;13;13;4,85;.;.
1;FCFC0050;21;21;4,95;.;.
1;FCHB0010;13;13;7,08;.;.
1;FCQX0040;169;177;10,26;43;46
1;FCQX0050;144;155;1,22;61;63
1;FCQX0060;200;202;7,36;18;18
1;FCQX0070;16;16;2,69;.;.
1;FCQX0080;33;34;1,85;12;12
1;FCQX0100;83;83;7,58;.;.
1;FCQX0110;28;28;10,07;.;.
1;FCQX0120;43;44;7,35;.;.
1;FCQX0280;45;53;5,53;16;20
1;FDHB0010;68;69;10,46;25;25
1;FDHB0040;21;21;17,62;.;.
1;FDHB0060;88;90;8,63;40;40
1;FDQX0070;69;69;22,32;12;12
1;FEHB0010;350;3871;25,19;.;.
1;FEJF0020;44;223;22,09;.;.
1;FEJF0030;155;161;0,79;140;140
1;FEJF0040;52;56;0,63;50;50
1;FEJF0060;70;74;0,61;64;66
1;FELF0010;219;231;9,72;.;.
1;FELF0020;56;123;38,77;.;.
1;FELF0030;175;206;17,42;.;.
1;FELF0040;336;404;17,63;57;58
1;FELF0060;256;371;11,71;88;88
1;FELF0070;199;467;53,30;.;.
1;FELF0110;3728;4875;10,61;657;672
1;FELF0120;130;134;4,04;95;95
1;FEPF0030;579;580;0,53;548;548
1;FFFA0010;17;17;32,00;.;.
1;FGRB0010;42;42;0,00;42;42
1;FGRB0020;25;25;0,00;25;25
1;FGRB0030;56;56;0,13;55;55
1;FGRB0060;14;14;0,00;14;14
1;FGRD0020;15;15;0,00;15;15
1;FGRD0030;51;51;0,51;49;49
1;GABD0010;21;23;5,38;.;.
1;GABD0020;38;40;5,11;11;11
1;GAFA0050;11;11;0,00;11;11
1;GAFA0070;36;37;0,42;28;29
1;GAFD0010;31;32;1,13;18;18
1;GAFD0020;31;31;2,84;13;13
1;GAHA0010;12;12;3,92;.;.
1;GAJA0020;11;11;2,09;.;.
1;GAMA0070;57;57;1,35;24;24
1;GAMA0180;43;49;0,28;38;44
1;GAME0010;109;109;1,19;63;63
1;GAND0010;33;33;1,33;26;26
1;GAQE0010;135;139;5,22;32;32
1;GASE0010;11;12;3,82;.;.
1;GBFA0070;13;14;1,08;.;.
1;GBPE0010;171;186;1,60;56;60
1;GCQE0010;227;243;18,00;17;17
1;GCQE0020;18;18;0,78;12;12
1;GCQX0040;60;66;1,32;29;33
1;GDFE0020;12;12;0,83;.;.
1;GDFE0030;11;11;3,09;.;.
1;GDFE0040;34;34;0,59;20;20
1;GDHE0010;17;17;16,65;.;.
1;GDLD0010;18;18;7,11;.;.
1;GDQE0010;14;14;21,36;.;.
1;GDQE0040;83;83;4,77;12;12
1;GDQE0050;33;33;11,21;.;.
1;GDQX0040;17;19;9,41;.;.
1;GEHD0010;191;299;26,25;.;.
1;GEHE0010;154;161;16,23;25;25
1;GEJE0030;36;49;27,00;.;.
1;GELD0010;41;52;51,54;.;.
1;GELD0020;92;101;20,48;.;.
1;GELD0030;112;123;47,96;.;.
1;GELD0040;990;1287;25,21;27;28
1;GELD0050;1304;3619;9,07;173;197
1;GELE0010;742;800;8,33;145;147
1;GELF0010;56;68;46,36;.;.
1;GEPA0040;123;135;36,22;.;.
1;GEQE0040;382;409;15,28;91;91
1;GEQE0060;46;52;19,57;.;.
1;GEQE0070;308;325;14,96;28;28
1;GEQE0090;32;41;54,16;.;.
1;GEQE0120;42;51;30,86;.;.
1;GEQE0130;211;215;5,96;71;72
1;GEQX0010;158;169;16,16;55;63
1;GEQX0020;107;111;18,44;.;.
1;GERD0010;386;387;2,41;285;286
1;GFFC0020;16;16;6,88;.;.
1;GFFC0050;11;11;13,55;.;.
1;GFQL0010;11;11;13,45;.;.
1;GFQL0020;345;349;13,16;.;.
1;GFQL0050;113;114;11,58;.;.
1;GFQL0070;16;16;15,06;.;.
1;GFQM0010;287;352;14,63;.;.
1;GFQX0040;20;20;10,00;.;.
1;GFQX0200;151;167;15,88;.;.
1;GGHB0010;139;158;14,53;.;.
1;GGHB0020;24;24;10,79;.;.
1;GGJB0010;360;531;16,62;.;.
1;GGJB0020;123;146;19,61;.;.
1;GGLB0060;46;52;16,33;.;.
1;GGLC0010;20;20;10,00;.;.
1;GHFA0010;15;15;3,27;.;.
1;GLHF0010;9639;16707;7,94;572;686
1;GLHF0020;192;200;5,35;.;.
1;GLLD0030;1949;11128;20,86;20;20
1;GLLD0040;284;1150;25,48;.;.
1;GLLD0050;84;390;33,70;.;.
1;GLLD0060;163;332;22,40;.;.
1;GLLD0080;1109;8232;23,24;28;30
1;GLLD0090;98;488;50,42;.;.
1;GLLD0120;312;2475;25,48;.;.
1;GLLD0130;115;1680;52,10;.;.
1;GLLD0150;1214;8757;26,50;17;18
1;GLLD0170;4141;17900;15,81;89;89
1;GLLD0180;360;408;27,87;.;.
1;GLLD0190;778;2350;19,83;.;.
1;GLLD0210;37;136;17,65;.;.
1;GLLP0030;156;288;20,94;.;.
1;GLLP0060;1621;1632;0,06;1618;1618
1;GLLP0070;13;72;11,69;.;.
1;GLMF0010;162;1059;20,28;.;.
1;GLMP0010;95;114;9,85;.;.
1;GLQD0010;153;155;4,10;90;90
1;GLQD0070;224;252;0,61;208;234
1;GLQF0010;301;1520;19,13;.;.
1;GLQP0010;405;2895;22,46;.;.
1;GLQP0020;1225;1285;2,01;911;956
1;GLQP0040;130;1654;33,52;.;.
1;GLQP0050;2062;15031;16,78;38;39
1;GLQP0070;326;327;4,82;21;21
1;GLQP0120;53;55;8,26;18;20
1;GLQP0160;605;652;0,94;510;550
1;HAFA0150;23;24;0,22;19;20
1;HAHD0030;55;57;2,33;28;29
1;HAJA0060;14;14;2,57;.;.
1;HAJA0090;11;11;2,55;.;.
1;HAJA0100;19;19;5,42;.;.
1;HAPA0010;18;18;0,17;15;15
1;HAPD0010;31;31;1,45;24;24
1;HAQX0050;14;14;3,64;.;.
1;HASA0180;20;21;2,25;13;14
1;HBFD0060;16;42;0,13;15;41
1;HBGD0030;39;45;0,10;37;43
1;HBGD0040;29;34;4,62;24;29
1;HBGD0160;12;12;4,17;.;.
1;HBGD0170;22;24;0,14;19;19
1;HBGD0210;53;53;0,02;52;52
1;HBGD0220;21;21;7,05;.;.
1;HBGD0250;120;126;0,99;112;117
1;HBGD0310;12;12;2,83;.;.
1;HBGD0350;35;38;1,57;25;27
1;HBGD0360;124;125;17,14;45;45
1;HBGD0370;48;49;1,27;37;38
1;HBGD0380;636;636;0,09;595;595
1;HBGD0390;12;12;2,00;.;.
1;HBGD0430;74;74;6,53;44;44
1;HBGD0440;16;18;7,13;11;11
1;HBGD0650;17;18;0,00;17;18
1;HBGD0760;16;16;4,19;11;11
1;HBGD0930;12;12;0,00;12;12
1;HBGD1060;20;20;2,75;15;15
1;HBGD2630;15;16;0,20;13;14
1;HBGD2840;21;21;0,33;19;19
1;HBGD3090;22;22;0,14;20;20
1;HBGD3190;49;49;3,65;31;31
1;HBGD4220;17;17;3,35;11;11
1;HBGD4620;20;20;0,30;17;17
1;HBGD4640;13;13;0,54;11;11
1;HBGD4890;38;39;4,05;32;32
1;HBGD4970;17;18;12,59;.;.
1;HBJB0010;13;14;5,92;.;.
1;HBJD0010;85;109;6,24;62;81
1;HBMA0010;26;29;1,35;20;23
