"reg";"acte";"nb_sejsea";"nb_actes";"dms_globale";"nb_sej_0_nuit";"nb_acte_ambu"
"01";"AAFA0010";"12";"12";"15.8333333333333";".";"."
"01";"AAFA0020";"66";"68";"15.6212121212121";".";"."
"01";"AAJA0010";"19";"19";"23.9473684210526";".";"."
"01";"AAJA0040";"26";"28";"25.6538461538461";".";"."
"01";"AAJA0060";"12";"13";"24.6666666666666";".";"."
"01";"AAQM0020";"887";"1909";"27.9222096956031";".";"."
"01";"AAQP0060";"99";"105";"3.36363636363636";"49";"51"
"01";"AAQP0070";"1024";"1123";"11.630859375";"109";"112"
"01";"AAQP0100";"18";"18";"1.55555555555555";".";"."
"01";"AAQP0110";"645";"1063";"26.7875968992248";".";"."
"01";"AAQP1290";"154";"202";"12.1168831168831";".";"."
"01";"AAQP3500";"844";"975";"10.9680094786729";"80";"80"
"01";"ABCA0020";"44";"49";"19.6590909090909";".";"."
"01";"ABCB0010";"76";"122";"22.4210526315789";".";"."
"01";"ABCC0010";"12";"13";"22.25";".";"."
"01";"ABGA0020";"11";"15";"32.6363636363636";".";"."
"01";"ABJA0020";"39";"43";"16.3589743589743";".";"."
"01";"ABJA0030";"82";"85";"9.34146341463414";".";"."
"01";"ABJA0060";"22";"23";"11.9090909090909";".";"."
"01";"ABLB0030";"28";"37";"28.8928571428571";".";"."
"01";"ABQP0010";"87";"476";"16.551724137931";".";"."
"01";"ACQH0010";"559";"586";"12.0125223613595";".";"."
"01";"ACQH0020";"97";"98";"21.6701030927835";".";"."
"01";"ACQH0030";"1513";"1614";"13.3370786516853";"83";"85"
"01";"ACQH0040";"283";"287";"9.15194346289752";"15";"15"
"01";"ACQJ0020";"1123";"1226";"15.087266251113";"205";"205"
"01";"ACQK0010";"7237";"8727";"11.5835290866381";"365";"373"
"01";"ACQN0010";"2575";"2778";"14.0605825242718";"377";"382"
"01";"ACQN0020";"21";"21";"0.33333333333333";"20";"20"
"01";"ACQN0040";"558";"584";"14.6881720430107";"25";"25"
