"reg";"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"BGQP0040";"41";".";"63.516129032258"
"01";"BGQP0070";"245";"187";"1.26938775510204"
"01";"BHGA0060";"19";".";"3.42105263157894"
"01";"BHMA0020";"11";".";"5.36363636363636"
"01";"BHQB0010";"21";"16";"0.33333333333333"
"01";"BJMA0050";"22";".";"1.22727272727272"
"01";"BJQP0020";"18";".";"7.38888888888889"
"01";"BLQP0040";"48";"25";"4.53191489361702"
"01";"BLQP0100";"133";"64";"5.78740157480315"
"01";"BZQK0010";"39";"12";"5.03225806451612"
"01";"BZQM0010";"11";".";"8.81818181818182"
"01";"BZQP0020";"91";"50";"5.50561797752809"
"01";"CAFA0020";"24";"17";"0.39130434782608"
"01";"CAFA0050";"61";"53";"0.07017543859649"
"01";"CAGD0010";"51";"29";"5.4375"
"01";"CAGD0020";"13";".";"7.38461538461538"
"01";"CAJA0020";"15";".";"6.6"
"01";"CAJD0010";"13";".";"13.076923076923"
"01";"CALD0010";"11";".";"6.54545454545454"
"01";"CAMA0220";"53";"46";"0.31372549019607"
"01";"CBGD0010";"23";"23";"0"
"01";"CBLD0010";"56";"46";"0.25454545454545"
"01";"CBLD0030";"37";"26";"1.97297297297297"
"01";"CBMA0090";"15";".";"2.26666666666666"
"01";"CBPD0010";"16";".";"3.66666666666666"
"01";"CBQE0010";"81";"15";"13.275"
"01";"CDQP0020";"389";"98";"3.56992084432717"
"01";"CDQP0080";"19";".";"63.3636363636363"
"01";"CDQP0090";"1508";".";"4.46245847176079"
"01";"CDQP0100";"22";".";"7.9047619047619"
"01";"CDQP0120";"16";".";"4.93333333333333"
"01";"CDQP0150";"142";".";"4.95744680851063"
"01";"CDRP0010";"18";".";"3.94444444444444"
"01";"CDRP0020";"594";".";"6.90387858347386"
"01";"CERP0030";"41";".";"4.60526315789473"
"01";"DAQL0090";"43";".";"16.5714285714285"
"01";"DAQL0100";"95";".";"19.7446808510638"
"01";"DAQL0140";"151";".";"16.5616438356164"
"01";"DAQL0150";"15";".";"13.0714285714285"
"01";"DASF0010";"12";".";"4.75"
