"reg";"acte";"nb_sejsea";"nb_actes";"dms_globale";"nb_sej_0_nuit";"nb_acte_ambu"
"01";"AAFA0010";"13";"14";"11.7692307692307";".";"."
"01";"AAFA0020";"94";"96";"10.8829787234042";".";"."
"01";"AAQM0020";"839";"1821";"28.8688915375447";".";"."
"01";"AAQP0030";"37";"70";"40.3513513513513";".";"."
"01";"AAQP0060";"69";"70";"6.8695652173913";"37";"37"
"01";"AAQP0070";"361";"396";"10.1135734072022";"45";"45"
"01";"AAQP0110";"656";"875";"21.4268292682926";"23";"23"
"01";"AAQP1290";"48";"49";"9.5";".";"."
"01";"AAQP3500";"1166";"1497";"14.3593481989708";"51";"57"
"01";"ABCA0020";"33";"37";"30.7272727272727";".";"."
"01";"ABCA0030";"16";"16";"16.375";".";"."
"01";"ABCB0010";"118";"258";"28.1186440677966";".";"."
"01";"ABCC0010";"11";"11";"6.63636363636363";".";"."
"01";"ABGA0020";"25";"31";"29.68";".";"."
"01";"ABJA0020";"65";"67";"16.0153846153846";".";"."
"01";"ABJA0030";"90";"92";"7.76666666666666";".";"."
"01";"ABJA0050";"13";"14";"18.8461538461538";".";"."
"01";"ABJA0060";"31";"31";"12.5483870967741";".";"."
"01";"ABJA0080";"13";"15";"34.6153846153846";".";"."
"01";"ABLB0030";"64";"142";"41.453125";".";"."
"01";"ABQP0010";"117";"620";"27.7863247863247";".";"."
"01";"ACQH0020";"172";"174";"21.4186046511627";".";"."
"01";"ACQH0030";"2104";"2391";"13.0546577946768";"135";"154"
"01";"ACQH0040";"352";"357";"11.7556818181818";"27";"27"
"01";"ACQJ0010";"389";"389";"9.6426735218509";"18";"18"
"01";"ACQJ0020";"1446";"1625";"16.259336099585";"296";"324"
"01";"ACQK0010";"7317";"9611";"11.244225775591";"454";"497"
"01";"ACQN0010";"2908";"3075";"14.2187070151306";"383";"387"
"01";"ACQN0040";"295";"299";"11.6915254237288";"54";"54"
"01";"ACQP0020";"222";"245";"12.9639639639639";".";"."
"01";"AEQM0010";"26";"26";"12.4230769230769";".";"."
"01";"AFFA0050";"20";"21";"10.65";".";"."
"01";"AFFA0100";"47";"47";"9.34042553191489";".";"."
"01";"AFHB0020";"755";"840";"10.5735099337748";"361";"370"
"01";"AFLB0010";"27";"29";"4.14814814814814";".";"."
"01";"AFLB0030";"18";"21";"7.05555555555555";".";"."
"01";"AFLB0060";"30";"30";"0.43333333333333";"27";"27"
"01";"AFLB0070";"64";"117";"6.34375";".";"."
"01";"AFLB0080";"338";"339";"5.10355029585798";".";"."
"01";"AFLB0100";"6563";"6574";"4.89288435166844";".";"."
"01";"AFLB0170";"12";"43";"14.9166666666666";".";"."
"01";"AFLH0010";"218";"218";"0.19266055045871";"210";"210"
