"reg";"Acte CCAM + phase";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"BGQP0090";"25";".";"20.5"
"01";"BHGA0060";"21";".";"4.42857142857142"
"01";"BHQB0010";"18";".";"1.38888888888888"
"01";"BJMA0030";"23";"19";"0.26086956521739"
"01";"BJMA0050";"37";"15";"1.02777777777777"
"01";"BJMA0060";"11";"11";"0"
"01";"BLQP0100";"78";"34";"4.44285714285714"
"01";"BZQK0010";"11";".";"4.33333333333333"
"01";"BZQP0020";"67";"40";"15.1935483870967"
"01";"BZQX0040";"27";"26";"0.07407407407407"
"01";"CAFA0020";"22";"20";"0"
"01";"CAFA0050";"94";"82";"0.1590909090909"
"01";"CAGD0010";"70";"46";"3.72727272727272"
"01";"CAJD0010";"32";".";"10.590909090909"
"01";"CAMA0130";"17";"14";"0.23529411764705"
"01";"CAMA0220";"86";"74";"0.175"
"01";"CBFA0060";"17";".";"2.4375"
"01";"CBGD0010";"34";"30";"0.06451612903225"
"01";"CBLD0010";"47";"41";"0.17391304347826"
"01";"CBLD0030";"41";"36";"0.14634146341463"
"01";"CBMA0080";"12";".";"0.83333333333333"
"01";"CBMA0090";"29";".";"2.57142857142857"
"01";"CBMA0110";"11";".";"2.9090909090909"
"01";"CBPD0010";"30";"15";"3.5"
"01";"CBQA0010";"15";"14";"1.2"
"01";"CBQE0010";"79";".";"8.82894736842105"
"01";"CDQP0020";"375";"55";"3.8543956043956"
"01";"CDQP0090";"13";".";"37.5833333333333"
"01";"CDQP0100";"73";".";"6.26388888888889"
"01";"CDQP0120";"35";".";"7.5"
"01";"CDQP0140";"13";".";"1.15384615384615"
"01";"CDQP0150";"91";".";"4.28571428571428"
"01";"CDRP0020";"1047";".";"8.07135969141755"
"01";"CERP0010";"24";".";"5.95652173913043"
"01";"CERP0030";"32";".";"5.625"
"01";"DAHF0010";"24";".";"5.33333333333333"
"01";"DAQL0100";"74";".";"12.8904109589041"
"01";"DAQL0140";"85";".";"15.2261904761904"
"01";"DAQM9000";"14";".";"37.3636363636363"
"01";"DASF0010";"22";".";"7.13636363636363"
"01";"DASF0050";"11";".";"3.63636363636363"
"01";"DBKA0060";"54";".";"21.8461538461538"
"01";"DBKA0100";"21";".";"34.0952380952381"
"01";"DBMA0030";"21";".";"25.6666666666666"
"01";"DBMA0080";"14";".";"29.3571428571428"
"01";"DCJA0010";"29";".";"25.0714285714285"
"01";"DDAF0010";"16";".";"6.9375"
"01";"DDAF0040";"44";".";"4.11363636363636"
"01";"DDAF0060";"175";".";"5.70348837209302"
"01";"DDAF0070";"54";".";"6.15094339622641"
"01";"DDAF0080";"427";".";"5.16626506024096"
"01";"DDAF0100";"50";".";"8.41666666666666"
"01";"DDMA0050";"33";".";"21.3333333333333"
"01";"DDMA0090";"11";".";"19.090909090909"
"01";"DDMA0110";"23";".";"24.4782608695652"
"01";"DDMA0150";"14";".";"24.3571428571428"
"01";"DDMA0200";"22";".";"23.9090909090909"
"01";"DDQH0090";"1711";".";"5.45978391356542"
"01";"DDQH0120";"324";".";"6.36875"
"01";"DDQH0130";"68";".";"5.08823529411764"
"01";"DDQH0150";"11";".";"6.8"
"01";"DEKA0010";"83";".";"4.61728395061728"
"01";"DEKA0020";"19";".";"4.83333333333333"
"01";"DELF0050";"212";".";"8.015"
"01";"DELF0070";"91";".";"10.0224719101123"
"01";"DELF0100";"69";".";"9.8955223880597"
"01";"DELF0110";"18";".";"14.5555555555555"
"01";"DELF0130";"41";".";"7.76315789473684"
"01";"DELF0140";"56";".";"7.33962264150943"
"01";"DELF0160";"40";".";"9.66666666666666"
"01";"DELF0170";"14";".";"9.57142857142857"
"01";"DEMP0010";"125";"11";"7.73387096774193"
"01";"DEMP0020";"332";".";"7.73040752351097"
"01";"DEPF0120";"77";".";"4.46666666666666"
"01";"DEPF0330";"16";".";"3"
"01";"DEQF0020";"38";".";"3.39473684210526"
"01";"DEQF0030";"23";".";"5.26086956521739"
"01";"DEQP0030";"32426";"3864";"6.95080954146582"
"01";"DEQP0040";"12179";"53";"16.0756914119359"
"01";"DEQP0050";"521";"31";"13.6137787056367"
"01";"DEQP0070";"37413";"431";"14.0072090628218"
"01";"DERP0030";"39";".";"4.125"
"01";"DERP0040";"95";".";"11.5866666666666"
"01";"DFQH0010";"18";".";"6.22222222222222"
"01";"DGGA0040";"16";".";"40.6875"
"01";"DGLA0010";"12";".";"35.1666666666666"
"01";"DGLF0060";"11";".";"25"
"01";"DGQH0010";"434";"53";"3.27972027972028"
"01";"DGQH0060";"40";".";"8.925"
"01";"DGQH0070";"197";".";"2.8730964467005"
"01";"DGQM0010";"641";"48";"17.0125448028673"
"01";"DHLF0010";"626";".";"43.5089974293059"
"01";"DHQH0030";"93";"72";"2.73626373626373"
"01";"DHQH0070";"11";"11";"0"
"01";"DHSF0010";"21";".";"23.5714285714285"
"01";"DKMD0010";"101";".";"19.1704545454545"
"01";"DKMD0020";"169";"28";"15.3896103896103"
"01";"DKRP0040";"59";".";"7.42372881355932"
"01";"DZQJ0010";"91";".";"24.4390243902439"
"01";"DZQJ0020";"92";".";"24.8488372093023"
