"reg";"acte";"nb_sejsea";"nb_actes";"dms_globale";"nb_sej_0_nuit";"nb_acte_ambu"
"01";"AAFA0020";"100";"102";"13.42";".";"."
"01";"AAJA0010";"13";"15";"29.1538461538461";".";"."
"01";"AAQM0020";"850";"1853";"30.0788235294117";".";"."
"01";"AAQP0030";"51";"87";"40.6862745098039";".";"."
"01";"AAQP0060";"54";"55";"7.53703703703703";"18";"18"
"01";"AAQP0070";"473";"518";"10.5475687103594";"34";"35"
"01";"AAQP0110";"754";"1098";"21.6339522546419";"46";"46"
"01";"AAQP1290";"50";"52";"5.64";".";"."
"01";"AAQP3500";"1060";"1375";"13.7330188679245";"35";"40"
"01";"ABCA0020";"21";"22";"27.0952380952381";".";"."
"01";"ABCA0030";"12";"12";"21.4166666666666";".";"."
"01";"ABCB0010";"81";"150";"28.9259259259259";".";"."
"01";"ABGA0020";"21";"23";"39.7619047619047";".";"."
"01";"ABJA0020";"45";"53";"11.1333333333333";".";"."
"01";"ABJA0030";"117";"122";"8.59829059829059";".";"."
"01";"ABJA0060";"23";"24";"9.8695652173913";".";"."
"01";"ABJA0080";"11";"12";"34";".";"."
"01";"ABLB0030";"58";"113";"35.2413793103448";".";"."
"01";"ABQP0010";"165";"603";"22.260606060606";".";"."
"01";"ACFA0020";"12";"12";"8.33333333333333";".";"."
"01";"ACQH0020";"188";"190";"16.7659574468085";"15";"15"
"01";"ACQH0030";"2085";"2296";"12.28345323741";"161";"166"
"01";"ACQH0040";"346";"356";"11.9710982658959";"21";"21"
"01";"ACQJ0010";"359";"359";"8.7158774373259";"15";"15"
"01";"ACQJ0020";"1414";"1552";"15.9787835926449";"289";"294"
"01";"ACQK0010";"7985";"10153";"10.7222291797119";"631";"663"
"01";"ACQN0010";"2643";"2774";"13.9129776768823";"334";"337"
"01";"ACQN0040";"580";"594";"13.2586206896551";"94";"94"
"01";"ACQP0020";"200";"218";"13.58";".";"."
"01";"AEQM0010";"22";"22";"17.2272727272727";".";"."
"01";"AFFA0100";"36";"36";"8.47222222222222";".";"."
"01";"AFHB0020";"642";"806";"9.49221183800623";"322";"323"
"01";"AFLB0010";"39";"39";"3.02564102564102";".";"."
"01";"AFLB0030";"81";"89";"3.41975308641975";"62";"62"
"01";"AFLB0060";"34";"34";"0.02941176470588";"33";"33"
"01";"AFLB0070";"53";"93";"5.22641509433962";".";"."
"01";"AFLB0080";"376";"376";"5.05053191489361";".";"."
"01";"AFLB0100";"6596";"6618";"4.81200727713765";".";"."
"01";"AFLB0130";"69";"70";"1.94202898550724";"52";"52"
"01";"AFLB0170";"29";"84";"8.75862068965517";".";"."
"01";"AFLH0010";"203";"203";"0.23645320197044";"196";"196"
"01";"AGLB0010";"1461";"1471";"1.40383299110198";"965";"970"
"01";"AGMA0010";"25";"26";"9.48";".";"."
"01";"AHCA0150";"30";"30";"0.6";".";"."
"01";"AHCA0160";"25";"26";"2.84";".";"."
"01";"AHCA0180";"17";"17";"1.94117647058823";".";"."
"01";"AHCA0230";"54";"55";"0.74074074074074";"29";"29"
"01";"AHEA0160";"18";"18";"0.27777777777777";"15";"15"
"01";"AHLB0060";"23";"23";"0.08695652173913";"22";"22"
"01";"AHLB0090";"32";"39";"3.09375";".";"."
"01";"AHLB0120";"34";"34";"23.6764705882352";".";"."
"01";"AHLH0140";"626";"626";"0.01757188498402";"622";"622"
"01";"AHLH0180";"50";"50";"0.76";"44";"44"
"01";"AHPA0090";"950";"951";"0.14210526315789";"902";"903"
"01";"AHPA0210";"14";"14";"0.35714285714285";".";"."
"01";"AHPA0220";"99";"99";"1";"83";"83"
"01";"AHPA0270";"11";"11";"6.18181818181818";".";"."
"01";"AHPA0280";"177";"179";"0.36158192090395";"146";"147"
"01";"AHPC0010";"255";"255";"0.0392156862745";"253";"253"
"01";"AHQB0250";"78";"78";"4.46153846153846";".";"."
"01";"AHQB0260";"11";"11";"3.09090909090909";".";"."
"01";"AHQB0320";"135";"135";"3.94814814814814";".";"."
"01";"AHQB0330";"1054";"1065";"3.86527514231499";"40";"40"
"01";"AHQJ0210";"7171";"7261";"1.98828615255891";"4197";"4204"
"01";"AHQP0010";"14";"14";"9.57142857142857";".";"."
"01";"AHQP0030";"63";"64";"4.01587301587301";".";"."
"01";"ALQP0030";"3658";"4199";"2.07271733187534";"1761";"1842"
"01";"ALQP0040";"530";"534";"0.43584905660377";"473";"476"
"01";"ALQP0050";"639";"642";"0.14866979655712";"635";"638"
"01";"ALQP0060";"3151";"4031";"2.12218343383053";"1922";"2005"
"01";"AMQP0090";"372";"685";"1.84139784946236";"24";"26"
"01";"AMQP0120";"604";"671";"1.56788079470198";".";"."
"01";"AMQP0130";"488";"560";"1.21926229508196";".";"."
"01";"AMQP0140";"135";"140";"3.29629629629629";".";"."
"01";"ANLP0020";"54";"66";"0.62962962962962";"52";"64"
"01";"ANMP0010";"394";"641";"8.15736040609137";"56";"56"
